date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-09 06:00:00,20.317100759889,29.5810933500607,37.0312259670633,6,2,Winter,25.2,-1.01,99.9
2023-02-09 07:00:00,23.8919387535266,32.3280676438092,39.4272619913516,7,2,Winter,27.9,-1.25,99.9
2023-02-09 08:00:00,27.3006675938247,33.9912213200314,42.3674324867841,8,2,Winter,30.8,-1.15,99.9
2023-02-09 09:00:00,33.4381325596566,37.8166672171664,47.5063102164106,9,2,Winter,37.4,0.05,99.9
2023-02-09 10:00:00,33.1868265375389,36.3233473946623,45.0305775317151,10,2,Winter,35.4,1.59,99.9
2023-02-09 11:00:00,27.3714669903026,31.1649184009748,37.9193554678077,11,2,Winter,31.4,5.76,94.16
2023-02-09 12:00:00,23.8945609734214,24.528311829973,31.7482012325977,12,2,Winter,24.9,14.34,59.11
2023-02-09 13:00:00,21.1946665898795,20.7874259567139,27.8757311079683,13,2,Winter,21.8,18.99,49.13
2023-02-09 14:00:00,20.4065703369741,19.9853293333651,26.5408889678978,14,2,Winter,20.4,20.51,46.71
2023-02-09 15:00:00,17.3712114968672,16.0638610860383,24.9178910288919,15,2,Winter,18.3,14.28,55.31
2023-02-09 16:00:00,12.4774032108795,17.4844776857275,22.6105375641435,16,2,Winter,17.0,8.81,69.03
2023-02-09 17:00:00,8.32464344550001,12.4403815580769,16.7702525599848,17,2,Winter,12.1,7.98,73.05
2023-02-09 18:00:00,10.1823924223872,14.7587951602693,20.1939290165336,18,2,Winter,13.8,7.17,80.13
2023-02-09 19:00:00,13.391996749685,20.3826263802487,25.4106544020223,19,2,Winter,18.0,6.32,89.11
2023-02-09 20:00:00,21.1001184959122,26.5754255145183,34.1425567225477,20,2,Winter,24.2,5.34,93.75
2023-02-09 21:00:00,29.4694190488015,32.9215361987222,42.5050240841871,21,2,Winter,34.5,3.52,99.82
2023-02-09 22:00:00,28.507083362964,32.7168938783874,41.1439105264243,22,2,Winter,32.2,2.77,99.9
2023-02-09 23:00:00,31.4433464262693,35.5084693517685,44.9013043823468,23,2,Winter,36.3,2.05,99.9
2023-02-10 00:00:00,28.5430459829288,33.012480311602,42.2024400832313,0,2,Winter,33.1,1.49,99.9
2023-02-10 01:00:00,23.2979740127627,30.3270774462993,38.8941838123803,1,2,Winter,27.6,0.93,99.9
2023-02-10 02:00:00,19.5459849443334,27.7671247673633,35.3621390665824,2,2,Winter,24.5,0.53,99.9
2023-02-10 03:00:00,19.4311745961245,28.4353636099335,34.5305329756547,3,2,Winter,24.4,0.1,99.9
2023-02-10 04:00:00,19.9478019414207,28.9285517478386,35.1720186288326,4,2,Winter,23.9,-0.2,99.9
2023-02-10 05:00:00,21.5830599439142,30.9760610752218,37.3668657291665,5,2,Winter,25.0,-0.57,99.9
2023-02-10 06:00:00,21.104103071084,30.6564613506481,38.2015075253459,6,2,Winter,25.5,-0.95,99.9
2023-02-10 07:00:00,20.3979073903928,30.2648083518589,37.5144995012074,7,2,Winter,25.7,-1.09,99.9
2023-02-10 08:00:00,25.502841745419,33.1364491553113,41.0451089681148,8,2,Winter,33.2,-1.07,99.9
2023-02-10 09:00:00,32.1544699172011,36.1573107012576,45.6884770998228,9,2,Winter,36.2,0.09,99.9
2023-02-10 10:00:00,31.1373769920481,34.6697440136097,44.8509982497801,10,2,Winter,34.2,1.74,99.9
2023-02-10 11:00:00,24.380083470243,28.563196036238,35.9319547459276,11,2,Winter,29.3,6.63,91.85
2023-02-10 12:00:00,20.6486599800948,20.3516512819397,28.1607350985039,12,2,Winter,22.1,17.84,55.56
2023-02-10 13:00:00,18.3350943856904,18.5079009099995,24.3200201971033,13,2,Winter,17.9,20.17,48.07
2023-02-10 14:00:00,20.6254867030047,20.0018434027079,27.0868340565314,14,2,Winter,19.7,21.42,46.33
2023-02-10 15:00:00,20.7102396235514,19.4389404732236,30.6432336347052,15,2,Winter,21.1,14.17,57.13
2023-02-10 16:00:00,25.3194589203008,29.471545104841,37.437531030927,16,2,Winter,26.2,8.68,73.2
2023-02-10 17:00:00,31.3456652266625,33.3559017429393,42.3041710981482,17,2,Winter,31.3,7.34,83.24
2023-02-10 18:00:00,33.6284886249748,34.9672546496438,45.0358100946152,18,2,Winter,35.7,6.07,93.77
2023-02-10 19:00:00,37.5987545418268,38.7056761414793,49.5588238083489,19,2,Winter,42.4,4.65,99.58
2023-02-10 20:00:00,39.8143670092643,40.2711349944643,51.4354829837068,20,2,Winter,44.6,3.51,99.9
2023-02-10 21:00:00,41.6929906759021,41.300680442267,52.9180175575952,21,2,Winter,45.4,2.67,99.9
2023-02-10 22:00:00,43.6304156243823,43.6604949710515,56.3919372083716,22,2,Winter,49.5,2.14,99.9
2023-02-10 23:00:00,41.2424879335665,42.0587702416787,54.4765264525423,23,2,Winter,48.0,1.73,99.9
2023-02-11 00:00:00,39.2482880290621,40.8318402182864,51.988208945691,0,2,Winter,43.0,1.02,99.9
