,mesure_id_x,date,valeur_x,validation_x,site_id_x,type_appareil_id_x,type_appareil_label_x,code_polluant_x,label_polluant_x,id_poll_ue_x,label_court_polluant_x,label_unite_x,label_court_unite_x,unite_x,site_label_x,mesure_id_y,valeur_y,validation_y,site_id_y,type_appareil_id_y,type_appareil_label_y,code_polluant_y,label_polluant_y,id_poll_ue_y,label_court_polluant_y,label_unite_y,label_court_unite_y,unite_y,site_label_y
25,FR15038_39_11,2023-01-02 01:00:00,8.1,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,5.64710792736068,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
26,FR15038_39_11,2023-01-02 02:00:00,8.7,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.08692411246412,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
27,FR15038_39_11,2023-01-02 03:00:00,9.3,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,5.8662458112345,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
28,FR15038_39_11,2023-01-02 04:00:00,9.3,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.05213776099923,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
29,FR15038_39_11,2023-01-02 05:00:00,9.0,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.12358368136587,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
30,FR15038_39_11,2023-01-02 06:00:00,9.0,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.20235994172523,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
31,FR15038_39_11,2023-01-02 07:00:00,8.9,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.27736691384717,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
32,FR15038_39_11,2023-01-02 08:00:00,8.7,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.35333414729169,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
33,FR15038_39_11,2023-01-02 09:00:00,6.8,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,6.10685604587518,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
34,FR15038_39_11,2023-01-02 10:00:00,7.9,True,FR15038,11,Analyseur Air,39,"particules PM2,5",6001,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères,FR15038_39_57_3_C1,7.28903174198254,True,FR15038,57,Microcapteur (site fixe),39,"particules PM2,5",,PM2.5,Microgramme par m3,microg/m3,µg/m³,St-Martin-d'Hères
